#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
;;bnu;bn;Bentong
;;ycl;yc;Lolopo
;;tgo;tg;Sudest
;;kbi;kb;Kaptiau
;;xhd;xh;Hadrami
;;otn;ot;Tenango Otomi
;;fom;fo;Foma
;;bgz;bg;Banggai
;;ssh;ss;Shihhi Arabic
;;geb;ge;Kire
;;duq;du;Dusun Malang
;;onr;on;Northern One
;;kfx;kf;Kullu Pahari
;;lcl;lc;Lisela
;;kcv;kc;Kete
;;xml;xm;Malaysian Sign Language
;;nej;ne;Neko
;;myb;my;Mbay
;;brp;br;Barapasi
;;ymt;ym;Mator-Taygi-Karagas
;;aqn;aq;Northern Alta
;;cuh;cu;Chuka
;;crx;cr;Carrier
;;ogc;og;Ogbah
;;zaf;za;Ayoquesco Zapotec
;;mow;mo;Moi (Congo)
;;sps;sp;Saposa
;;nhb;nh;Beng
;;bij;bi;Vaghat-Ya-Bijim-Legeri
;;ngd;ng;Ngando (Central African Republic)
;;npa;np;Nar Phu
;;din;di;Dinka
;;njx;nj;Kunyi
;;xow;xo;Kowaki
;;noc;no;Nuk
;;pre;pr;Principense
;;gho;gh;Ghomara
;;ddo;dd;Dido
;;ane;an;Xârâcùù
;;mox;mo;Molima
;;oty;ot;Old Tamil
;;mwn;mw;Nyamwanga
;;gub;gu;Guajajára
;;tog;to;Tonga (Nyasa)
;;moi;mo;Mboi
;;meb;me;Ikobi-Mena
;;bgq;bg;Bagri
;;ssq;ss;So'a
;;jer;je;Jere
;;szv;sz;Isu (Fako Division)
;;bbg;bb;Barama
;;ttr;tt;Tera
;;tca;tc;Ticuna
;;lbk;lb;Central Bontok
;;keq;ke;Kamar
;;nek;ne;Neku
;;ibe;ib;Akpes
;;mqx;mq;Mamuju
;;gux;gu;Gourmanchéma
;;kvw;kv;Wersing
;;rav;ra;Sampang
;;noa;no;Woun Meu
;;crt;cr;Iyojwa'ja Chorote
;;xto;xt;Tokharian A
;;mnb;mn;Muna
;;lli;ll;Teke-Laali
;;tpg;tp;Kula
;;ruu;ru;Lanas Lobu
;;bmj;bm;Bote-Majhi
;;lgi;lg;Lengilu
;;hiw;hi;Hiw
;;elu;el;Elu
;;fwa;fw;Fwâi
;;yac;ya;Pass Valley Yali
;;mup;mu;Malvi
;;fat;fa;Fanti
;;zmv;zm;Mbariman-Gudhinma
;;yab;ya;Yuhup
;;bwe;bw;Bwe Karen
;;god;go;Godié
;;mxn;mx;Moi (Indonesia)
;;njb;nj;Nocte Naga
;;wnd;wn;Wandarang
;;mpi;mp;Mpade
;;sgw;sg;Sebat Bet Gurage
;;tao;ta;Yami
;;kgj;kg;Gamale Kham
;;bse;bs;Wushi
;;syo;sy;Suoy
;;nnc;nn;Nancere
;;kiv;ki;Kimbu
;;njm;nj;Angami Naga
;;meq;me;Merey
;;mpm;mp;Yosondúa Mixtec
;;juo;ju;Jiba
;;kpy;kp;Koryak
;;tov;to;Upper Taromi
;;snh;sn;Shinabo
;;ayg;ay;Ginyanga
;;she;sh;Sheko
;;adh;ad;Adhola
;;alx;al;Amol
;;xeu;xe;Keoru-Ahia
;;kdu;kd;Kadaru
;;pmc;pm;Palumata
;;ada;ad;Adangme
;;mgt;mg;Mongol
;;khj;kh;Kuturmi
;;bok;bo;Bonjo
;;xay;xa;Kayan Mahakam
;;act;ac;Achterhoeks
;;brk;br;Birked
;;tug;tu;Tunia
;;kbr;kb;Kafa
;;mpr;mp;Vangunu
;;ktu;kt;Kituba (Democratic Republic of Congo)
;;pau;pa;Palauan
;;bhh;bh;Bukharic
;;eyo;ey;Keiyo
;;bhs;bh;Buwal
;;biy;bi;Birhor
;;bzi;bz;Bisu
;;amx;am;Anmatyerre
;;xmn;xm;Manichaean Middle Persian
;;luu;lu;Lumba-Yakkha
;;cts;ct;Northern Catanduanes Bicolano
;;txx;tx;Tatana
;;roo;ro;Rotokas
;;pla;pl;Miani
;;wry;wr;Merwari
;;way;wa;Wayana
;;qxt;qx;Santa Ana de Tusi Pasco Quechua
;;mrg;mr;Mising
;;lnd;ln;Lundayeh
;;bkx;bk;Baikeno
;;awi;aw;Aekyom
;;quf;qu;Lambayeque Quechua
;;ung;un;Ngarinyin
;;yif;yi;Ache
;;sno;sn;Snohomish
;;mzb;mz;Tumzabt
;;lww;lw;Lewo
;;sdk;sd;Sos Kundi
;;dbi;db;Doka
;;pne;pn;Western Penan
;;lkj;lk;Remun
;;gbr;gb;Gbagyi
;;drb;dr;Dair
;;awm;aw;Arawum
;;ibu;ib;Ibu
;;ekp;ek;Ekpeye
;;msx;ms;Moresada
;;cni;cn;Asháninka
;;smh;sm;Samei
;;slg;sl;Selungai Murut
;;sln;sl;Salinan
;;nmw;nm;Nimoa
;;zsa;zs;Sarasira
;;mnk;mn;Mandinka
;;yrb;yr;Yareba
;;tnb;tn;Western Tunebo
;;mle;ml;Manambu
;;hoj;ho;Hadothi
;;dnn;dn;Dzùùngoo
;;bes;be;Besme
;;san;sa;Sanskrit
;;caf;ca;Southern Carrier
;;ccd;cc;Cafundo Creole
;;mwo;mw;Central Maewo
;;lgr;lg;Lengo
;;mlf;ml;Mal
;;ino;in;Inoke-Yate
;;icr;ic;Islander Creole English
;;apf;ap;Pahanan Agta
;;uro;ur;Ura (Papua New Guinea)
;;smo;sm;Samoan
;;sig;si;Paasaal
;;ccr;cc;Cacaopera
;;bhb;bh;Bhili
;;wtf;wt;Watiwa
;;lwe;lw;Lewo Eleng
;;ylu;yl;Aribwaung
;;dhl;dh;Dhalandji
;;ibl;ib;Ibaloi
;;tpp;tp;Pisaflores Tepehua
;;qve;qv;Eastern Apurímac Quechua
;;pnx;pn;Phong-Kniang
;;wri;wr;Wariyangga
;;ukl;uk;Ukrainian Sign Language
;;tlc;tl;Yecuatla Totonac
;;kfi;kf;Kannada Kurumba
;;btg;bt;Gagnoa Bété
;;bqp;bq;Busa
;;kty;kt;Kango (Bas-Uélé District)
;;khc;kh;Tukang Besi North
;;kyi;ky;Kiput
;;jav;ja;Javanese
;;tst;ts;Tondi Songway Kiini
;;ttb;tt;Gaa
;;ifu;if;Mayoyao Ifugao
;;mzi;mz;Ixcatlán Mazatec
;;pmy;pm;Papuan Malay
;;oog;oo;Ong
;;trp;tr;Kok Borok
;;anc;an;Ngas
;;nnv;nn;Nugunu (Australia)
;;kku;kk;Tumi
;;kfc;kf;Konda-Dora
;;cid;ci;Chimariko
;;pbe;pb;Mezontla Popoloca
;;msf;ms;Mekwei
;;raf;ra;Western Meohang
;;wow;wo;Wawonii
;;itb;it;Binongan Itneg
;;kpj;kp;Karajá
;;abx;ab;Inabaknon
;;mqi;mq;Mariri
;;enm;en;Middle English (1100-1500)
;;boh;bo;Boma
;;mdp;md;Mbala
;;pti;pt;Pintiini
;;jae;ja;Yabem
;;bhz;bh;Bada (Indonesia)
;;duv;du;Duvle
;;bwz;bw;Bwisi
;;zsk;zs;Kaskean
;;sdb;sd;Shabak
;;nmk;nm;Namakura
;;kqm;kq;Khisa
;;ncd;nc;Nachering
;;kaz;ka;Kazakh
;;sbm;sb;Sagala
;;mkp;mk;Moikodi
;;gbd;gb;Karadjeri
;;ktb;kt;Kambaata
;;cll;cl;Chala
;;bhq;bh;Tukang Besi South
;;mqn;mq;Moronene
;;ijc;ij;Izon
;;bdu;bd;Oroko
;;nds;nd;Low German
;;lhp;lh;Lhokpu
;;prg;pr;Prussian
;;lmo;lm;Lombard
;;oht;oh;Old Hittite
;;ncp;nc;Ndaktup
;;gio;gi;Gelao
;;bie;bi;Bepour
;;jut;ju;Jutish
;;xkr;xk;Xakriabá
;;yap;ya;Yapese
;;nrt;nr;Northern Kalapuya
;;zbe;zb;East Berawan
;;lnl;ln;South Central Banda
;;krl;kr;Karelian
;;aai;aa;Arifama-Miniafia
;;pnt;pn;Pontic
;;vka;vk;Kariyarra
;;kfl;kf;Kung
;;qws;qw;Sihuas Ancash Quechua
;;lto;lt;Tsotso
;;lob;lo;Lobi
;;hil;hi;Hiligaynon
;;myd;my;Maramba
;;sht;sh;Shasta
;;hac;ha;Gurani
;;btp;bt;Budibud
;;abz;ab;Abui
;;liz;li;Libinza
;;atk;at;Ati
;;tnd;tn;Angosturas Tunebo
;;bhp;bh;Bima
;;aof;ao;Bragat
;;psa;ps;Asue Awyu
;;pmw;pm;Plains Miwok
;;bjk;bj;Barok
;;kow;ko;Kugama
;;dbl;db;Dyirbal
;;enq;en;Enga
;;unp;un;Worora
;;tab;ta;Tabassaran
;;kbc;kb;Kadiwéu
;;say;sa;Saya
;;kfz;kf;Koromfé
;;kjm;kj;Kháng
;;abe;ab;Western Abnaki
;;wul;wu;Silimo
;;nzy;nz;Nzakambay
;;crc;cr;Lonwolwol
;;mip;mi;Apasco-Apoala Mixtec
;;mca;mc;Maca
;;cmn;cm;Mandarin Chinese
;;adp;ad;Adap
;;atp;at;Pudtol Atta
;;sec;se;Sechelt
;;xbc;xb;Bactrian
;;soc;so;So (Democratic Republic of Congo)
;;tck;tc;Tchitchege
;;iar;ia;Purari
;;bob;bo;Aweer
;;sak;sa;Sake
;;mwr;mw;Marwari
;;bbe;bb;Bangba
;;xkk;xk;Kaco'
;;hbn;hb;Heiban
;;mal;ma;Malayalam
;;pgs;pg;Pangseng
;;wec;we;Wè Western
;;pit;pi;Pitta Pitta
;;jih;ji;Shangzhai
;;kjf;kj;Khalaj
;;kih;ki;Kilmeri
;;atg;at;Ivbie North-Okpela-Arhe
;;sge;sg;Segai
;;klb;kl;Kiliwa
;;xiy;xi;Xipaya
;;tcm;tc;Tanahmerah
;;mqe;mq;Matepi
;;moa;mo;Mwan
;;jid;ji;Bu
;;pmj;pm;Southern Pumi
;;vls;vl;Vlaams
;;eip;ei;Eipomek
;;rod;ro;Rogo
;;doi;do;Dogri (macrolanguage)
;;wlm;wl;Middle Welsh
;;thl;th;Dangaura Tharu
;;mve;mv;Marwari (Pakistan)
;;trm;tr;Tregami
;;nfa;nf;Dhao
;;twf;tw;Northern Tiwa
;;ths;th;Thakali
;;bpr;bp;Koronadal Blaan
;;jnl;jn;Rawat
;;wan;wa;Wan
;;tzx;tz;Tabriak
;;haz;ha;Hazaragi
;;hle;hl;Hlersu
;;wyr;wy;Wayoró
;;mzp;mz;Movima
;;awr;aw;Awera
;;cik;ci;Chitkuli Kinnauri
;;mhi;mh;Ma'di
;;csm;cs;Central Sierra Miwok
;;xve;xv;Venetic
;;kkf;kk;Kalaktang Monpa
;;kmn;km;Awtuw
;;squ;sq;Squamish
;;mls;ml;Masalit
;;abm;ab;Abanyom
;;tdq;td;Tita
;;lyn;ly;Luyana
;;pga;pg;Sudanese Creole Arabic
;;blk;bl;Pa'o Karen
;;ort;or;Adivasi Oriya
;;psl;ps;Puerto Rican Sign Language
;;lnz;ln;Lonzo
;;tih;ti;Timugon Murut
;;ixl;ix;Ixil
;;mxm;mx;Meramera
;;grr;gr;Taznatit
;;ala;al;Alago
;;law;la;Lauje
;;mlo;ml;Mlomp
;;bvo;bv;Bolgo
;;uig;ui;Uighur
;;mif;mi;Mofu-Gudur
;;bud;bu;Ntcham
;;csb;cs;Kashubian
;;auz;au;Uzbeki Arabic
;;plj;pl;Polci
;;qvn;qv;North Junín Quechua
;;kxj;kx;Kulfa
;;mmq;mm;Musak
;;kcf;kc;Ukaan
;;kok;ko;Konkani (macrolanguage)
;;mki;mk;Dhatki
;;aci;ac;Aka-Cari
;;skn;sk;Kolibugan Subanon
;;hoa;ho;Hoava
;;hmg;hm;Southwestern Guiyang Hmong
;;gro;gr;Groma
;;aes;ae;Alsea
;;bdc;bd;Emberá-Baudó
;;chd;ch;Highland Oaxaca Chontal
;;ori;or;Oriya
;;aug;au;Aguna
;;pam;pa;Pampanga
;;rbk;rb;Northern Bontok
;;aar;aa;Afar
;;rit;ri;Ritarungo
;;mfh;mf;Matal
;;gnt;gn;Guntai
;;kod;ko;Kodi
;;bug;bu;Buginese
;;bak;ba;Bashkir
;;bek;be;Bebeli
;;ayu;ay;Ayu
;;hij;hi;Hijuk
;;yag;ya;Yámana
;;dcr;dc;Negerhollands
;;itv;it;Itawit
;;mhl;mh;Mauwake
;;lic;li;Hlai
;;pyx;py;Pyu (Myanmar)
;;bfj;bf;Bafanji
;;wlv;wl;Wichí Lhamtés Vejoz
;;uga;ug;Ugaritic
;;tax;ta;Tamki
;;auk;au;Heyo
;;awb;aw;Awa (Papua New Guinea)
;;yit;yi;Eastern Lalu
;;wuh;wu;Wutunhua
;;yde;yd;Yangum Dey
;;sgg;sg;Swiss-German Sign Language
;;pib;pi;Yine
;;mfq;mf;Moba
;;bcq;bc;Bench
;;mml;mm;Man Met
;;eli;el;Nding
;;bma;bm;Lame
;;xbx;xb;Kabixí
;;bde;bd;Bade
;;mvl;mv;Mbara (Australia)
;;xvs;xv;Vestinian
;;glv;gl;Manx
;;sbq;sb;Sileibi
;;bcg;bc;Baga Binari
;;tsc;ts;Tswa
;;sej;se;Sene
;;smv;sm;Samvedi
;;rtm;rt;Rotuman
;;xwc;xw;Woccon
;;ake;ak;Akawaio
;;ved;ve;Veddah
;;vas;va;Vasavi
;;lmf;lm;South Lembata
;;bvj;bv;Baan
;;its;it;Isekiri
;;rax;ra;Rang
;;kco;kc;Kinalakna
;;rge;rg;Romano-Greek
;;pwg;pw;Gapapaiwa
;;ida;id;Idakho-Isukha-Tiriki
;;sui;su;Suki
;;nbk;nb;Nake
;;ldd;ld;Luri
;;fai;fa;Faiwol
;;kqh;kq;Kisankasa
;;khu;kh;Nkhumbi
;;urf;ur;Uradhi
;;xss;xs;Assan
;;kak;ka;Kayapa Kallahan
;;shs;sh;Shuswap
;;mvx;mv;Meoswar
;;huw;hu;Hukumina
;;dud;du;Hun-Saare
;;cnl;cn;Lalana Chinantec
;;aeq;ae;Aer
;;mrj;mr;Western Mari
;;mau;ma;Huautla Mazatec
;;bip;bi;Bila
;;ngz;ng;Ngungwel
;;guo;gu;Guayabero
;;udg;ud;Muduga
;;lvk;lv;Lavukaleve
;;sch;sc;Sakachep
;;crl;cr;Northern East Cree
;;rmf;rm;Kalo Finnish Romani
;;zmo;zm;Molo
;;tbg;tb;North Tairora
;;swx;sw;Suruahá
;;aoj;ao;Mufian
;;hya;hy;Hya
;;esi;es;North Alaskan Inupiatun
;;ebo;eb;Teke-Ebo
;;gqr;gq;Gor
;;ywt;yw;Xishanba Lalo
;;tlr;tl;Talise
;;mdw;md;Mbosi
;;bed;be;Bedoanas
;;kca;kc;Khanty
;;dan;da;Danish
;;klx;kl;Koluwawa
;;ast;as;Asturian
;;kqf;kq;Kakabai
;;nhz;nh;Santa María La Alta Nahuatl
;;daz;da;Dao
;;lka;lk;Lakalei
;;end;en;Ende
;;urx;ur;Urimo
;;dob;do;Dobu
;;wfg;wf;Yafi
;;ggl;gg;Ganglau
;;sti;st;Bulo Stieng
;;kio;ki;Kiowa
;;qya;qy;Quenya
;;gai;ga;Borei
;;tbp;tb;Taworta
;;nau;na;Nauru
;;ona;on;Ona
;;xty;xt;Yoloxochitl Mixtec
;;wua;wu;Wikngenchera
;;kkn;kk;Kon Keu
;;ngo;ng;Ngoni
;;naa;na;Namla
;;hmc;hm;Central Huishui Hmong
;;zmf;zm;Mfinu
;;yln;yl;Langnian Buyang
;;nhe;nh;Eastern Huasteca Nahuatl
;;yug;yu;Yug
;;czn;cz;Zenzontepec Chatino
;;bhi;bh;Bhilali
;;wae;wa;Walser
;;bjd;bj;Bandjigali
;;ijn;ij;Kalabari
;;tsf;ts;Southwestern Tamang
;;fam;fa;Fam
;;tgy;tg;Togoyo
;;nba;nb;Nyemba
;;bmt;bm;Biao Mon
;;mde;md;Maba (Chad)
;;wtw;wt;Wotu
;;nvh;nv;Nasarian
;;jen;je;Dza
;;bov;bo;Tuwuli
;;gmb;gm;Gula'alaa
;;waa;wa;Walla Walla
;;ihi;ih;Ihievbe
;;tpy;tp;Trumai
;;nhv;nh;Temascaltepec Nahuatl
;;lri;lr;Marachi
;;huf;hu;Humene
;;xku;xk;Kaamba
;;ktg;kt;Kalkutung
;;baa;ba;Babatana
;;lam;la;Lamba
;;qui;qu;Quileute
;;jiv;ji;Shuar
;;loc;lo;Inonhan
;;aad;aa;Amal
;;mcx;mc;Mpiemo
;;mte;mt;Mono (Solomon Islands)
;;chw;ch;Chuwabu
;;vnp;vn;Vunapu
;;kut;ku;Kutenai
;;kdv;kd;Kado
;;tgg;tg;Tangga
;;nga;ng;Ngbaka
;;lsy;ls;Mauritian Sign Language
;;gbo;gb;Northern Grebo
;;kia;ki;Kim
;;okh;ok;Koresh-e Rostam
;;nbj;nb;Ngarinman
;;iyx;iy;Yaka (Congo)
;;znk;zn;Manangkari
;;tqw;tq;Tonkawa
;;gwj;gw;/Gwi
;;hmy;hm;Southern Guiyang Hmong
;;djm;dj;Jamsay Dogon
;;umr;um;Umbugarla
;;iwm;iw;Iwam
;;ggk;gg;Kungarakany
;;gdu;gd;Gudu
;;ubr;ub;Ubir
;;huc;hu;=/Hua
;;dee;de;Dewoin
;;bsk;bs;Burushaski
;;asm;as;Assamese
;;seu;se;Serui-Laut
;;ynk;yn;Naukan Yupik
;;nug;nu;Nungali
;;gwr;gw;Gwere
;;glu;gl;Gula (Chad)
;;dje;dj;Zarma
;;csw;cs;Swampy Cree
;;sjr;sj;Siar-Lak
;;btu;bt;Batu
;;rka;rk;Kraol
;;mkg;mk;Mak (China)
;;dtk;dt;Tene Kan Dogon
;;mop;mo;Mopán Maya
;;bws;bw;Bomboma
;;txe;tx;Totoli
;;mmx;mm;Madak
;;tgr;tg;Tareng
;;vku;vk;Kurrama
;;urp;ur;Uru-Pa-In
;;rom;ro;Romany
;;pcl;pc;Pardhi
;;bio;bi;Nai
;;bqv;bq;Begbere-Ejar
;;ich;ic;Etkywan
;;nhn;nh;Central Nahuatl
;;nnp;nn;Wancho Naga
;;gne;gn;Ganang
;;cle;cl;Lealao Chinantec
;;ssc;ss;Suba-Simbiti
;;imy;im;Milyan
;;agf;ag;Arguni
;;wbm;wb;Wa
;;ono;on;Onondaga
;;bby;bb;Befang
;;zbw;zb;West Berawan
;;ury;ur;Orya
;;goz;go;Gozarkhani
;;anq;an;Jarawa (India)
;;vmc;vm;Juxtlahuaca Mixtec
;;lmx;lm;Laimbue
;;fan;fa;Fang (Equatorial Guinea)
;;div;di;Dhivehi
;;wrn;wr;Warnang
;;sku;sk;Sakao
;;otb;ot;Old Tibetan
;;kol;ko;Kol (Papua New Guinea)
;;kmm;km;Kom (India)
;;gmh;gm;Middle High German (ca. 1050-1500)
;;ksk;ks;Kansa
;;hum;hu;Hungana
;;qup;qu;Southern Pastaza Quechua
;;tis;ti;Masadiit Itneg
;;zga;zg;Kinga
;;kvx;kv;Parkari Koli
;;aig;ai;Antigua and Barbuda Creole English
;;ihb;ih;Iha Based Pidgin
;;bvx;bv;Dibole
;;rsi;rs;Rennellese Sign Language
;;kno;kn;Kono (Sierra Leone)
;;krr;kr;Kru'ng 2
;;ubu;ub;Umbu-Ungu
;;mts;mt;Yora
;;sbd;sb;Southern Samo
;;gju;gj;Gujari
;;bnm;bn;Batanga
;;doh;do;Dong
;;oku;ok;Oku
;;lcs;lc;Lisabata-Nuniali
;;knd;kn;Konda
;;ikz;ik;Ikizu
;;aij;ai;Lishanid Noshan
;;tyn;ty;Kombai
;;dag;da;Dagbani
;;amy;am;Ami
;;bnr;bn;Butmas-Tur
;;sru;sr;Suruí
;;mgb;mg;Mararit
;;zph;zp;Totomachapan Zapotec
;;xod;xo;Kokoda
;;dgn;dg;Dagoman
;;ttc;tt;Tektiteko
;;sde;sd;Surubu
;;sck;sc;Sadri
;;gdq;gd;Mehri
;;dbo;db;Dulbu
;;woo;wo;Manombai
;;nsq;ns;Northern Sierra Miwok
;;czt;cz;Zotung Chin
;;srm;sr;Saramaccan
;;glc;gl;Bon Gula
;;dor;do;Dori'o
;;ari;ar;Arikara
;;bkj;bk;Pande
;;eya;ey;Eyak
;;brr;br;Birao
;;azz;az;Highland Puebla Nahuatl
;;tys;ty;Tày Sa Pa
;;igg;ig;Igana
;;xpg;xp;Phrygian
;;pgi;pg;Pagi
;;ndk;nd;Ndaka
;;xht;xh;Hattic
;;aoc;ao;Pemon
;;ilu;il;Ili'uun
;;bev;be;Daloa Bété
;;pus;pu;Pushto
;;rhg;rh;Rohingya
;;kbj;kb;Kari
;;cug;cu;Cung
;;tby;tb;Tabaru
;;swj;sw;Sira
;;pum;pu;Puma
;;laa;la;Southern Subanen
;;brx;br;Bodo (India)
;;ugn;ug;Ugandan Sign Language
;;bgn;bg;Western Balochi
;;rme;rm;Angloromani
;;nxm;nx;Numidian
;;nyi;ny;Ama (Sudan)
;;ame;am;Yanesha'
;;yom;yo;Yombe
;;mni;mn;Manipuri
;;wew;we;Wejewa
;;mvz;mv;Mesqan
;;kjt;kj;Phrae Pwo Karen
;;gle;gl;Irish
;;pkr;pk;Attapady Kurumba
;;ktp;kt;Kaduo
;;tly;tl;Talysh
;;zae;za;Yareni Zapotec
;;bwl;bw;Bwela
;;nei;ne;Neo-Hittite
;;eka;ek;Ekajuk
;;ckt;ck;Chukot
;;cin;ci;Cinta Larga
;;ukq;uk;Ukwa
;;vid;vi;Vidunda
;;xok;xo;Xokleng
;;rmg;rm;Traveller Norwegian
;;coq;co;Coquille
;;nmz;nm;Nawdm
;;kmt;km;Kemtuik
;;tkf;tk;Tukumanféd
;;new;ne;Newari
;;srd;sr;Sardinian
;;osa;os;Osage
;;mco;mc;Coatlán Mixe
;;bnk;bn;Bierebo
;;kqs;kq;Northern Kissi
;;nll;nl;Nihali
;;bzb;bz;Andio
;;bst;bs;Basketo
;;org;or;Oring
;;orz;or;Ormu
;;ogo;og;Khana
;;lov;lo;Lopi
;;nuz;nu;Tlamacazapa Nahuatl
;;kqx;kq;Mser
;;ciw;ci;Chippewa
;;yno;yn;Yong
;;cdo;cd;Min Dong Chinese
;;nuu;nu;Ngbundu
;;sei;se;Seri
;;xap;xa;Apalachee
;;nkh;nk;Khezha Naga
;;mwd;mw;Mudbura
;;kkt;kk;Koi
;;nop;no;Numanggang
;;mum;mu;Maiwala
;;wmw;wm;Mwani
;;kov;ko;Kudu-Camo
;;ilb;il;Ila
;;ign;ig;Ignaciano
;;swc;sw;Congo Swahili
;;bfm;bf;Mmen
;;gya;gy;Northwest Gbaya
;;wod;wo;Wolani
;;hgw;hg;Haigwai
;;xcr;xc;Carian
;;pal;pa;Pahlavi
;;jms;jm;Mashi (Nigeria)
;;clw;cl;Chulym
;;fui;fu;Bagirmi Fulfulde
;;che;ch;Chechen
;;min;mi;Minangkabau
;;dmx;dm;Dema
;;ban;ba;Balinese
;;kri;kr;Krio
;;aja;aj;Aja (Sudan)
;;rau;ra;Raute
;;kdg;kd;Seba
;;agk;ag;Isarog Agta
;;xab;xa;Sambe
;;tnp;tn;Whitesands
;;lel;le;Lele (Democratic Republic of Congo)
;;cac;ca;Chuj
;;ssv;ss;Shark Bay
;;tqn;tq;Tenino
;;myx;my;Masaaba
;;nsh;ns;Ngoshie
;;byv;by;Medumba
;;tft;tf;Ternate
;;mie;mi;Ocotepec Mixtec
;;tmn;tm;Taman (Indonesia)
;;mmb;mm;Momina
;;apu;ap;Apurinã
;;koe;ko;Kacipo-Balesi
;;klm;kl;Migum
;;aiq;ai;Aimaq
;;sya;sy;Siang
;;tmw;tm;Temuan
;;ner;ne;Yahadian
;;emw;em;Emplawas
;;nrl;nr;Ngarluma
;;zir;zi;Ziriya
;;kxp;kx;Wadiyara Koli
;;kuq;ku;Karipuna
;;fgr;fg;Fongoro
;;cwt;cw;Kuwaataay
;;efe;ef;Efe
;;adu;ad;Aduge
;;nzi;nz;Nzima
;;vto;vt;Vitou
;;stp;st;Southeastern Tepehuan
;;klt;kl;Nukna
;;guw;gu;Gun
;;pca;pc;Santa Inés Ahuatempan Popoloca
;;yix;yi;Axi Yi
;;udj;ud;Ujir
;;dau;da;Dar Sila Daju
;;liq;li;Libido
;;crw;cr;Chrau
;;nks;nk;North Asmat
;;myv;my;Erzya
;;ifa;if;Amganad Ifugao
;;emi;em;Mussau-Emira
;;kvg;kv;Kuni-Boazi
;;tkd;tk;Tukudede
;;mmk;mm;Mukha-Dora
;;gbe;gb;Niksek
;;bry;br;Burui
;;ocu;oc;Atzingo Matlatzinca
;;dmk;dm;Domaaki
;;mzw;mz;Deg
;;duy;du;Dicamay Agta
;;moy;mo;Shekkacho
;;idt;id;Idaté
;;zml;zm;Madngele
;;sma;sm;Southern Sami
;;mdr;md;Mandar
;;xor;xo;Korubo
;;kub;ku;Kutep
;;btj;bt;Bacanese Malay
;;ful;fu;Fulah
;;mxd;mx;Modang
;;pbs;pb;Central Pame
;;zil;zi;Zialo
;;geq;ge;Geme
;;aux;au;Aurá
;;aki;ak;Aiome
;;msj;ms;Ma (Democratic Republic of Congo)
;;lok;lo;Loko
;;toh;to;Gitonga
;;zaz;za;Zari
;;swq;sw;Sharwa
;;tny;tn;Tongwe
;;kfw;kf;Kharam Naga
;;vki;vk;Ija-Zuba
;;thh;th;Northern Tarahumara
;;mft;mf;Mokerang
;;anj;an;Anor
;;gdf;gd;Guduf-Gava
;;nod;no;Northern Thai
;;haq;ha;Ha
;;zhn;zh;Nong Zhuang
;;blt;bl;Tai Dam
;;npb;np;Nupbikha
;;kvb;kv;Kubu
;;yii;yi;Yidiny
;;dre;dr;Dolpo
;;bqc;bq;Boko (Benin)
;;spp;sp;Supyire Senoufo
;;crs;cr;Seselwa Creole French
;;bgr;bg;Bawm Chin
;;gyr;gy;Guarayu
;;pem;pe;Phende
;;moj;mo;Monzombo
;;txn;tx;West Tarangan
;;hnu;hn;Hung
;;nnd;nn;West Ambae
;;szw;sz;Sawai
;;nob;no;Norwegian Bokmål
;;ped;pe;Mala (Papua New Guinea)
;;lub;lu;Luba-Katanga
;;xts;xt;Sindihui Mixtec
;;hji;hj;Haji
;;spi;sp;Saponi
;;kep;ke;Kaikadi
;;frs;fr;Eastern Frisian
;;arp;ar;Arapaho
;;zku;zk;Kaurna
;;olo;ol;Livvi
;;nhh;nh;Nahari
;;mjm;mj;Medebur
;;tom;to;Tombulu
;;alo;al;Larike-Wakasihu
;;ibd;ib;Iwaidja
;;hch;hc;Huichol
;;doa;do;Dom
;;xuo;xu;Kuo
;;otx;ot;Texcatepec Otomi
;;tcb;tc;Tanacross
;;nac;na;Narak
;;yrk;yr;Nenets
;;gin;gi;Hinukh
;;ssp;ss;Spanish Sign Language
;;lbj;lb;Ladakhi
;;mru;mr;Mono (Cameroon)
;;ghn;gh;Ghanongga
;;gec;ge;Gboloo Grebo
;;teu;te;Soo
;;pls;pl;San Marcos Tlalcoyalco Popoloca
;;miw;mi;Akoye
;;ttk;tt;Totoro
;;xhe;xh;Khetrani
;;abf;ab;Abai Sungai
;;lba;lb;Lui
;;gua;gu;Shiki
;;xtz;xt;Tasmanian
;;nbh;nb;Ngamo
;;sja;sj;Epena
;;asf;as;Australian Sign Language
;;vgt;vg;Vlaamse Gebarentaal
;;kvv;kv;Kola
;;zap;za;Zapotec
;;guj;gu;Gujarati
;;dza;dz;Tunzu
;;acb;ac;Áncá
;;nyw;ny;Nyaw
;;nke;nk;Duke
;;jim;ji;Jimi (Cameroon)
;;bxe;bx;Birale
;;bmk;bm;Ghayavi
;;zpr;zp;Santiago Xanica Zapotec
;;wie;wi;Wik-Epa
;;tkr;tk;Tsakhur
;;nsc;ns;Nshi
;;sxk;sx;Southern Kalapuya
;;amw;am;Western Neo-Aramaic
;;xmm;xm;Manado Malay
;;knk;kn;Kuranko
;;cap;ca;Chipaya
;;prh;pr;Porohanon
;;pda;pd;Anam
;;xpm;xp;Pumpokol
;;oon;oo;Önge
;;lbn;lb;Lamet
;;tac;ta;Lowland Tarahumara
